Date,Open,High,Low,Close,Volume
"Jul 15, 2020",32.1,32.97,31.68,32.81,"20,976,500"
"Jul 14, 2020",31.35,31.38,30.48,30.93,"21,781,800"
"Jul 13, 2020",33.21,33.6,31.66,31.72,"19,604,800"
"Jul 10, 2020",33.14,33.55,32.65,33.14,"13,586,300"
"Jul 9, 2020",34.24,34.46,32.26,33.15,"25,061,800"
"Jul 8, 2020",33.21,33.97,32.68,33.93,"24,602,400"
"Jul 7, 2020",32.46,33.56,32.39,32.82,"34,874,700"
"Jul 6, 2020",33.1,33.2,31.76,32.52,"42,392,200"
"Jul 2, 2020",31.02,31.57,30.51,30.68,"14,981,100"
"Jul 1, 2020",30.96,31.26,30.16,30.43,"13,611,500"
"Jun 30, 2020",30.83,31.25,30.13,31.08,"21,282,800"
"Jun 29, 2020",29.51,29.75,28.39,29.63,"20,795,400"
"Jun 26, 2020",30.44,30.44,29.21,29.61,"46,482,300"
"Jun 25, 2020",30,30.85,29.56,30.58,"19,142,800"
"Jun 24, 2020",32.75,32.93,30.45,30.46,"29,477,200"
"Jun 23, 2020",32.88,33.21,32.59,33.05,"13,622,100"
"Jun 22, 2020",32.43,32.85,31.43,32.68,"17,790,300"
"Jun 19, 2020",33.98,34.02,32.27,32.3,"29,426,300"
"Jun 18, 2020",33,33.44,32.8,33.4,"15,495,800"
"Jun 17, 2020",33.5,33.6,33.01,33.29,"14,827,700"
"Jun 16, 2020",34,34.17,32.43,33.49,"21,377,100"
"Jun 15, 2020",31.16,32.68,31.02,32.67,"21,350,300"
"Jun 12, 2020",32.73,32.74,31.04,32.24,"27,685,200"
"Jun 11, 2020",32.63,33.24,30.89,31.1,"45,298,700"
"Jun 10, 2020",36.69,36.8,34.26,34.83,"43,473,700"
"Jun 9, 2020",36.7,37.33,36.25,36.59,"15,127,300"
"Jun 8, 2020",37.87,37.9,36.09,37.08,"30,099,500"
"Jun 5, 2020",37.53,38.78,36.92,37.21,"30,393,400"
"Jun 4, 2020",36.42,37.3,36.28,36.43,"17,423,600"
"Jun 3, 2020",36.2,37.37,36.14,36.75,"23,051,800"
"Jun 2, 2020",36.16,36.42,35.26,35.81,"19,328,400"
"Jun 1, 2020",35.64,36.39,35.16,35.82,"21,893,800"
"May 29, 2020",34.18,36.45,34,36.32,"72,393,800"
"May 28, 2020",34.9,35.1,33.82,34.15,"21,951,900"
"May 27, 2020",34.42,35,33.1,34.88,"27,514,600"
"May 26, 2020",35.97,36,34.5,34.56,"23,483,200"
"May 22, 2020",34.15,34.93,33.57,34.83,"18,675,700"
"May 21, 2020",34.45,35.01,33.47,34.26,"24,075,300"
"May 20, 2020",34.12,34.77,33.82,34.48,"21,386,700"
